Data,F1,F2,F3,F4 ,F5,F6,F7,F8
12/1971,-0.422170433,-0.029259227,0.207554684,0.430663121,0.169939724,0.069689812,-0.020060254,-0.16438965
1/1972,-0.755979238,0.297127766,-0.01408348,0.539784809,0.039679015,0.160710361,0.197984409,0.059661652
2/1972,-0.44334732,0.029795537,0.156295281,0.266452236,0.22057766,-0.060046449,0.148065234,-0.090750348
3/1972,-0.566353744,0.125699333,-0.193288154,0.210068372,0.301717482,-0.08009086,-0.185224935,0.099721963
4/1972,-0.529801734,-0.003801118,0.064670081,0.096344104,0.244503843,0.034741401,0.119479433,-0.052314197
5/1972,-0.338140482,-0.174164692,-0.032719319,0.263860744,0.112104683,-0.269364046,0.030743041,0.074022834
6/1972,-0.358467404,-0.086485988,-0.146925338,0.224513693,0.232783156,-0.174604542,-0.021911385,0.092847515
7/1972,-0.094649557,-0.144528173,0.019695649,0.177929705,0.297879636,-0.08314823,0.219645457,-0.092154641
8/1972,-0.761388916,0.049527429,-0.087867741,0.292021702,0.048706265,0.119118102,-0.053587092,-0.080686281
9/1972,-0.571844776,-0.178802471,0.142390014,0.048744998,0.273578986,-0.066404142,0.10292992,-0.157243129
10/1972,-0.806258097,0.168567497,-0.311629305,0.267694416,0.06384454,0.059356416,0.059459233,0.044834362
11/1972,-0.763073711,-0.122866204,0.184686135,0.300556238,0.008378648,-0.119493526,-0.128860077,0.032184576
12/1972,-0.811664713,-0.06163946,-0.047778183,0.213146233,0.069039407,-0.088563309,-0.031583182,-0.15392797
1/1973,-0.758690493,-0.23407944,-0.066825875,0.093504966,0.099456781,-0.273158277,-0.022819166,-0.192716197
2/1973,-0.954358026,-0.426081814,-0.003831816,0.090617835,-0.109043556,-0.041494698,0.129930373,-0.128747567
3/1973,-0.569734742,-0.558327879,-0.025719164,-0.002104105,0.039065779,-0.230068525,0.047125246,-0.362298635
4/1973,-0.279679921,-0.292075752,-0.472368185,0.045662546,-0.031174137,-0.347274771,0.034817445,-0.135554297
5/1973,-0.459522383,-0.390316395,-0.29440347,0.05870524,-0.085576106,-0.055380542,0.092838522,-0.154896008
6/1973,-0.458978353,-0.583724137,-0.263947661,-0.056444152,-0.024818704,-0.216232377,-0.049287188,-0.215400949
7/1973,-0.381307725,-0.378601969,-0.738489359,-0.252335083,0.098248336,0.18794869,-0.295915036,-0.419509517
8/1973,-0.261925931,-1.424247677,0.724706692,-0.334199691,-0.027007967,-0.080986157,0.166479392,0.085510229
9/1973,-0.322302997,0.123748785,-1.305523739,0.145524357,-0.277171662,0.397162979,-0.245461191,-0.259789841
10/1973,-0.380197976,-0.562973331,-0.010673119,0.373118707,-0.685278266,0.221502528,-0.085117852,0.034027768
11/1973,-0.469471497,-0.708270474,-0.254111692,-0.24555366,-0.319868633,0.090689479,0.155260221,0.158499181
12/1973,0.016238116,-0.687349733,-0.517725605,-0.176680991,-0.439421374,-0.268725062,0.197755952,-0.072094455
1/1974,0.052453013,-0.861002196,-0.10203732,-0.220772518,-0.164902094,-0.060332841,-0.197133116,0.213334803
2/1974,0.073674439,-0.631617955,-0.30851992,0.183996608,-0.337696061,-0.040742078,0.116123996,-0.22425575
3/1974,-0.212039422,-0.459579633,-0.202320655,-0.233661428,0.001169936,0.124404324,-0.270221,-0.391275835
4/1974,-0.075138068,-0.507655549,-0.664300188,-0.420429391,0.022811099,0.030755703,-0.060379025,-0.218147899
